"Title","Place[Label]","Place[DBpedia abstract]","Place[DBpedia Page]","Place[Wikipedia Page]","Place[City]","Place[Town]","Place[County]","Place[State]","Place[Region]","Place[Country]","Place[Contained In County]","Place[Contained In State]","Place[Contained In Region]","Place[Contained In Country]","Place[Type of Place]","Place[Freebase Link]","Place[Yago Link]","Place[Geonames Link]","Place[Linkedgeodata Link]","Place[Rdfabout Link]","Place[Homepage]","Place[Latitude]","Place[Longitude]","Place[Coordinates]","Place[Location Source Information]","Free Text"
"6 Victria St, Tonna, Glamorgan","Victoria Gardens, Neath, Neath Port Talbot SA11, UK",,"http://dbpedia.org/resource/Neath","http://en.wikipedia.org/wiki/Neath","Neath",,"Neath Port Talbot",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01qjct","http://mpii.de/yago/resource/Neath","http://sws.geonames.org/2641843/","http://linkedgeodata.org/triplify/node/89026129#id",,,,,"51.6607714, -3.8025228",,
"77 Camridge Rd. Whitley, Northumberland","77 Cambridge Ave, Whitley Bay, Tyne and Wear NE26 1BA, UK",,"http://dbpedia.org/resource/Whitley_Bay","http://en.wikipedia.org/wiki/Whitley_Bay","Whitley Bay",,"Tyne and Wear",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0206vk","http://mpii.de/yago/resource/Whitley_Bay",,"http://linkedgeodata.org/triplify/node/27159426#id",,,,,"55.0443797, -1.4464498",,
"77 W 54 st,New York,New York","77 W 54th St, New York, NY 10019, USA",,"http://dbpedia.org/resource/New_York","http://en.wikipedia.org/wiki/New_York","New York",,"New York","New York",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01mf5p","http://mpii.de/yago/resource/New_York",,,"http://www.rdfabout.com/rdf/usgov/geo/us/ny",,,,"40.7623046, -73.9783745",,
"79 Cambridge Rd, Whitley, Northumerlan","79 Cambridge Ave, Whitley Bay, Tyne and Wear NE26 1BA, UK",,"http://dbpedia.org/resource/Whitley_Bay","http://en.wikipedia.org/wiki/Whitley_Bay","Whitley Bay",,"Tyne and Wear",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0206vk","http://mpii.de/yago/resource/Whitley_Bay",,"http://linkedgeodata.org/triplify/node/27159426#id",,,,,"55.0444164, -1.4464753",,
"Aachen,West Germany","Aachen, Germany",,"http://dbpedia.org/resource/Aachen","http://en.wikipedia.org/wiki/Aachen","Aachen",,"Cologne","Nordrhein-Westfalen",,"Germany",,,,,,"http://rdf.freebase.com/ns/m/0qjd","http://mpii.de/yago/resource/Aachen","http://sws.geonames.org/3247449/",,,,,,"50.7733179, 6.1021106",,
"Aalborg, Nordjylland, Danmark","Aalborg, Denmark",,"http://dbpedia.org/resource/Aalborg","http://en.wikipedia.org/wiki/Aalborg","Aalborg",,"Aalborg Municipality","Nordjylland",,"Denmark",,,,,,"http://rdf.freebase.com/ns/m/0dnntf","http://mpii.de/yago/resource/Aalborg","http://sws.geonames.org/2624886/","http://linkedgeodata.org/triplify/node/60120144#id",,,,,"57.028811, 9.917771",,
"Aarhus, Central Denmark Region, Denmark","Aarhus, Denmark",,"http://dbpedia.org/resource/Aarhus","http://en.wikipedia.org/wiki/Aarhus","Aarhus",,"Aarhus Municipality","Central Denmark Region",,"Denmark",,,,,,"http://rdf.freebase.com/ns/m/0lzp","http://mpii.de/yago/resource/Aarhus","http://sws.geonames.org/2624652/","http://linkedgeodata.org/triplify/node/26559213#id",,,,,"56.162939, 10.203921",,
"Aaron, Clinton, Kentucky, United States of America","Aaron, KY 42602, USA",,,,,,"Clinton","Kentucky",,"United States",,,,,,,,,,,,,,"36.8125652, -85.1807909",,
"Aaronsburg, Centre, Pennsylvania, United States","Aaronsburg, PA, USA",,,,"Aaronsburg",,"Centre","Pennsylvania",,"United States",,,,,,,,,,,,,,"40.8997903, -77.4533235",,
"Abbas Tuman,Caucasus,Russia",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Abbaye De St Bavon, Ghent, Flandre Orientale, Belgium","University of Ghent, Krijgslaan 281, 9000 Gent, Belgium",,,,"Gent",,"Oost-Vlaanderen","Vlaams Gewest",,"Belgium",,,,,,,,,,,,,,"51.024323, 3.710525",,
"Abbeville","Abbeville, France",,"http://dbpedia.org/resource/Abbeville","http://en.wikipedia.org/wiki/Abbeville","Abbeville",,"Somme","Picardie",,"France",,,,,,"http://rdf.freebase.com/ns/m/0mdn","http://mpii.de/yago/resource/Abbeville","http://sws.geonames.org/3038789/",,,,,,"50.105467, 1.836833",,
"Abbeville, Abbeville, South Carolina, United States","Abbeville, SC 29620, USA",,"http://dbpedia.org/resource/Abbeville,_South_Carolina","http://en.wikipedia.org/wiki/Abbeville,_South_Carolina","Abbeville",,"Abbeville","South Carolina",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0_k67",,,,,,,,"34.1781719, -82.3790147",,
"ABBEVILLE S.C.","Abbeville, SC 29620, USA",,"http://dbpedia.org/resource/Abbeville,_South_Carolina","http://en.wikipedia.org/wiki/Abbeville,_South_Carolina","Abbeville",,"Abbeville","South Carolina",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0_k67",,,,,,,,"34.1781719, -82.3790147",,
"Abbey Church at Thorney",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Abbey, Renfrewshire, Scotland","Abbey Chemist Ltd, 27 Gauze St, Paisley, Renfrewshire PA1 1ES, UK",,"http://dbpedia.org/resource/Paisley","http://en.wikipedia.org/wiki/Paisley","Paisley",,"Renfrewshire",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01vc3y",,"http://sws.geonames.org/2640677/","http://linkedgeodata.org/triplify/node/25923939#id",,,,,"55.846254, -4.4188352",,
"Aberdare","Aberdare, Rhondda Cynon Taff CF44, UK",,"http://dbpedia.org/resource/Aberdare","http://en.wikipedia.org/wiki/Aberdare","Aberdare",,"Rhondda Cynon Taff","Wales",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/010fw","http://mpii.de/yago/resource/Aberdare","http://sws.geonames.org/2657835/",,,,,,"51.716154, -3.451816",,
"Aberdeen, Md","Aberdeen, MD, USA",,"http://dbpedia.org/resource/Aberdeen,_Maryland","http://en.wikipedia.org/wiki/Aberdeen,_Maryland","Aberdeen",,"Harford","Maryland",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0tvs7","http://mpii.de/yago/resource/Aberdeen,_Maryland",,,,,,,"39.5095556, -76.1641197",,
"Aberdeen, MD","Aberdeen, MD, USA",,"http://dbpedia.org/resource/Aberdeen,_Maryland","http://en.wikipedia.org/wiki/Aberdeen,_Maryland","Aberdeen",,"Harford","Maryland",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0tvs7","http://mpii.de/yago/resource/Aberdeen,_Maryland",,,,,,,"39.5095556, -76.1641197",,
"Aberdeen, Monroe, Mississippi, United States","Aberdeen, MS 39730, USA",,"http://dbpedia.org/resource/Aberdeen,_Mississippi","http://en.wikipedia.org/wiki/Aberdeen,_Mississippi","Aberdeen",,"Monroe","Mississippi",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0wr1s","http://mpii.de/yago/resource/Aberdeen,_Mississippi",,,,,,,"33.8251139, -88.5436553",,
"Aberdeen, MS","Aberdeen, MS 39730, USA",,"http://dbpedia.org/resource/Aberdeen,_Mississippi","http://en.wikipedia.org/wiki/Aberdeen,_Mississippi","Aberdeen",,"Monroe","Mississippi",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0wr1s","http://mpii.de/yago/resource/Aberdeen,_Mississippi",,,,,,,"33.8251139, -88.5436553",,
"Aberdeen, SD","Aberdeen, SD 57401, USA",,"http://dbpedia.org/resource/Aberdeen,_South_Dakota","http://en.wikipedia.org/wiki/Aberdeen,_South_Dakota","Aberdeen",,"Brown","South Dakota",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010jc","http://mpii.de/yago/resource/Aberdeen,_South_Dakota",,,,,,,"45.4646985, -98.4864829",,
"Aberkenfig, Glamorgan",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Abilene, Dickinson, Kansas, United States","Abilene, KS 67410, USA",,"http://dbpedia.org/resource/Abilene,_Kansas","http://en.wikipedia.org/wiki/Abilene,_Kansas","Abilene",,"Dickinson","Kansas",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0t69l","http://mpii.de/yago/resource/Abilene,_Kansas",,,,,,,"38.9172216, -97.2139094",,
"Abilene, Texas","Abilene, TX, USA",,"http://dbpedia.org/resource/Abilene,_Texas","http://en.wikipedia.org/wiki/Abilene,_Texas","Abilene",,"Taylor","Texas",,"United States",,,,,,"http://rdf.freebase.com/ns/m/013m_x","http://mpii.de/yago/resource/Abilene,_Texas",,,,,,,"32.4487364, -99.7331439",,
"Abingdon Va.","Abingdon, VA, USA",,"http://dbpedia.org/resource/Abingdon,_Virginia","http://en.wikipedia.org/wiki/Abingdon,_Virginia","Abingdon",,"Washington","Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010pf7","http://mpii.de/yago/resource/Abingdon,_Virginia",,,,,,,"36.7098335, -81.9773482",,
"ABINGTON, MONTGOMERY CO, PA","Abington, PA, USA",,,,,,"Montgomery","Pennsylvania",,"United States",,,,,,,,,,,,,,"40.1198332, -75.1253492",,
"ABINGTON, PA","Abington, PA, USA",,,,,,"Montgomery","Pennsylvania",,"United States",,,,,,,,,,,,,,"40.1198332, -75.1253492",,
"Abington, Pennsylvania","Abington, PA, USA",,,,,,"Montgomery","Pennsylvania",,"United States",,,,,,,,,,,,,,"40.1198332, -75.1253492",,
"Ablemarle, Virginia, United States","Albemarle, VA, USA",,,,,,"Albemarle","Virginia",,"United States",,,,,,,,,,,,,,"38.0567092, -78.6114999",,
"Acadia, Nova Scotia, Canada","Acadia Lake, Halifax, NS, Canada",,,,,,"Halifax County","Nova Scotia",,"Canada",,,,,,,,,,,,,,"44.8389673, -62.8705884",,
"Accomac, Accomack, Virginia, United States","Accomac, VA 23301, USA",,"http://dbpedia.org/resource/Accomac,_Virginia","http://en.wikipedia.org/wiki/Accomac,_Virginia","Accomac",,"Accomack","Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010l2y","http://mpii.de/yago/resource/Accomac,_Virginia",,,,,,,"37.7195741, -75.6654845",,
"Accomac, Accomack, Virginia, USA","Accomac, VA 23301, USA",,"http://dbpedia.org/resource/Accomac,_Virginia","http://en.wikipedia.org/wiki/Accomac,_Virginia","Accomac",,"Accomack","Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010l2y","http://mpii.de/yago/resource/Accomac,_Virginia",,,,,,,"37.7195741, -75.6654845",,
"Accomack Co., Va","Accomack, VA, USA",,,,,,"Accomack","Virginia",,"United States",,,,,,,,,,,,,,"37.7063323, -75.8069082",,
"Accomack Co., Va.","Accomack, VA, USA",,,,,,"Accomack","Virginia",,"United States",,,,,,,,,,,,,,"37.7063323, -75.8069082",,
"Accomack Co, VA","Accomack, VA, USA",,,,,,"Accomack","Virginia",,"United States",,,,,,,,,,,,,,"37.7063323, -75.8069082",,
"Accomack Parish, Accomack, Virginia, United States","St George's Parish, 23319 Back St, Accomac, VA 23301, USA",,"http://dbpedia.org/resource/Accomac,_Virginia","http://en.wikipedia.org/wiki/Accomac,_Virginia","Accomac",,"Accomack","Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010l2y","http://mpii.de/yago/resource/Accomac,_Virginia",,,,,,,"37.7174738, -75.6709183",,
"Accomack, Virginia, United States","Accomack, VA, USA",,,,,,"Accomack","Virginia",,"United States",,,,,,,,,,,,,,"37.7063323, -75.8069082",,
"Accormack, Virginia, United States","Accomack, VA, USA",,,,,,"Accomack","Virginia",,"United States",,,,,,,,,,,,,,"37.7063323, -75.8069082",,
"Ackinsack,New Jersey","Hackensack, NJ, USA",,"http://dbpedia.org/resource/Hackensack,_New_Jersey","http://en.wikipedia.org/wiki/Hackensack,_New_Jersey","Hackensack",,"Bergen","New Jersey",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010cw1","http://mpii.de/yago/resource/Hackensack,_New_Jersey",,,,,,,"40.8859325, -74.0434736",,
"Acme, Kanawha, West Virginia, United States","Acme, 1, WV 25075, USA",,,,,,"Kanawha","West Virginia",,"United States",,,,,,,,,,,,,,"38.0367735, -81.455667",,
"Acme, Kanawha, West Virginia, USA","Acme, 1, WV 25075, USA",,,,,,"Kanawha","West Virginia",,"United States",,,,,,,,,,,,,,"38.0367735, -81.455667",,
"Acre,Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Acton, Cheshire, , England","Acton, Cheshire East CW5, UK",,,,"Acton",,"Cheshire East","England",,"United Kingdom",,,,,,,,,,,,,,"53.072365, -2.550178",,
"Acton, Middlesex Co, MA","Acton, MA, USA",,"http://dbpedia.org/resource/Acton,_Massachusetts","http://en.wikipedia.org/wiki/Acton,_Massachusetts","Acton",,"Middlesex","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0tzy2","http://mpii.de/yago/resource/Acton,_Massachusetts",,,,,,,"42.485, -71.4333333",,
"Acton Parish, Cheshire, , England","Acton, Cheshire East CW5, UK",,,,"Acton",,"Cheshire East","England",,"United Kingdom",,,,,,,,,,,,,,"53.072365, -2.550178",,
"Adair, Kentucky, United States","Adair, KY, USA",,,,,,"Adair","Kentucky",,"United States",,,,,,,,,,,,,,"37.076403, -85.3136218",,
"Adams, Adams, Colorado, USA","Adams County Historical Society, 9601 Henderson Rd, Brighton, CO 80601, USA",,"http://dbpedia.org/resource/Brighton,_Colorado","http://en.wikipedia.org/wiki/Brighton,_Colorado","Brighton",,"Adams","Colorado",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0r8jg","http://mpii.de/yago/resource/Brighton,_Colorado",,,,,,,"39.928619, -104.88016",,
"Adams County, Pennsylvania, USA","Adams, PA, USA",,,,,,"Adams","Pennsylvania",,"United States",,,,,,,,,,,,,,"39.8522417, -77.2864879",,
"Adams, Illinois, United States","Adams, IL, USA",,,,,,"Adams","Illinois",,"United States",,,,,,,,,,,,,,"40.0577692, -91.135302",,
"Adams, Ohio, United States","Adams, OH, USA",,,,,,"Adams","Ohio",,"United States",,,,,,,,,,,,,,"38.8907822, -83.5070203",,
"Adams, Pennsylvania, USA","Adams, PA, USA",,,,,,"Adams","Pennsylvania",,"United States",,,,,,,,,,,,,,"39.8522417, -77.2864879",,
"Ada,  Oklahoma","Ada, OK, USA",,"http://dbpedia.org/resource/Ada,_Oklahoma","http://en.wikipedia.org/wiki/Ada,_Oklahoma","Ada",,"Pontotoc","Oklahoma",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0z9fq","http://mpii.de/yago/resource/Ada,_Oklahoma",,,,,,,"34.774531, -96.6783449",,
"Adelshofen, Heilbronn, Baden-Wuerttemberg, Germany","Adelshofen, 75031 Eppingen, Germany",,"http://dbpedia.org/resource/Eppingen","http://en.wikipedia.org/wiki/Eppingen","Eppingen",,"Stuttgart","Baden-Wurttemberg",,"Germany",,,,,,"http://rdf.freebase.com/ns/m/0b6y3s",,,"http://linkedgeodata.org/triplify/node/35344151#id",,,,,"49.168601, 8.888358",,
"A. Dials,Jr. Residence,Lawrence County,KY","Lawrence, KY, USA",,,,,,"Lawrence","Kentucky",,"United States",,,,,,,,,,,,,,"38.052675, -82.7778579",,
"Adlington, Cheshire, , England","Adlington, Cheshire East SK10, UK",,,,"Adlington",,"Cheshire East","England",,"United Kingdom",,,,,,,,,,,,,,"53.321077, -2.125326",,
"Admire, Lyon Co., Kansas","Admire, KS, USA",,"http://dbpedia.org/resource/Admire,_Kansas","http://en.wikipedia.org/wiki/Admire,_Kansas","Admire",,"Lyon","Kansas",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0t87s","http://mpii.de/yago/resource/Admire,_Kansas",,,,,,,"38.6411197, -96.1030491",,
"Admire, Lyon Co., Ks.","Admire, KS, USA",,"http://dbpedia.org/resource/Admire,_Kansas","http://en.wikipedia.org/wiki/Admire,_Kansas","Admire",,"Lyon","Kansas",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0t87s","http://mpii.de/yago/resource/Admire,_Kansas",,,,,,,"38.6411197, -96.1030491",,
"Adrian, Michigan","Adrian, MI 49221, USA",,"http://dbpedia.org/resource/Adrian,_Michigan","http://en.wikipedia.org/wiki/Adrian,_Michigan","Adrian",,"Lenawee","Michigan",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0vbk1","http://mpii.de/yago/resource/Adrian,_Michigan",,,,,,,"41.8975471, -84.0371659",,
"Adria, VA","Adria, North Tazewell, VA 24630, USA",,"http://dbpedia.org/resource/North_Tazewell,_Virginia","http://en.wikipedia.org/wiki/North_Tazewell,_Virginia","North Tazewell",,"Tazewell","Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/04ctjrj","http://mpii.de/yago/resource/North_Tazewell,_Virginia",,,,,,,"37.1687262, -81.5459425",,
"Ærø, Helle, Denmark","6800 Helle, Denmark",,,,"Helle",,"Varde","Syddanmark",,"Denmark",,,,,,,,,,,,,,"55.616018, 8.700466",,
"Ærø Municipality, Syddanmark, Denmark","Ærø Municipality, Denmark",,,,,,"Ærø Municipality","Syddanmark",,"Denmark",,,,,,,,,,,,,,"54.8589026, 10.3874813",,
"Ærøskøbing, Ærø, Denmark","5970 Ærøskøbing, Denmark",,,,"Ærøskøbing",,"Ærø Municipality","Syddanmark",,"Denmark",,,,,,,,,,,,,,"54.891456, 10.404684",,
"Ærøskøbing, Denmark","5970 Ærøskøbing, Denmark",,,,"Ærøskøbing",,"Ærø Municipality","Syddanmark",,"Denmark",,,,,,,,,,,,,,"54.891456, 10.404684",,
"ærøskøbing, Dunkær, Denmark","5970 Dunkær, Denmark",,,,"Dunkær",,"Ærø Municipality","Syddanmark",,"Denmark",,,,,,,,,,,,,,"54.84847, 10.416082",,
"Ærøskøbing, Syddanmark, Denmark","5970 Ærøskøbing, Denmark",,,,"Ærøskøbing",,"Ærø Municipality","Syddanmark",,"Denmark",,,,,,,,,,,,,,"54.891456, 10.404684",,
"Æroskøbing sygehus","Sygehusvejen, 5970 Ærøskøbing, Denmark",,,,"Ærøskøbing",,"Ærø Municipality","Syddanmark",,"Denmark",,,,,,,,,,,,,,"54.89307, 10.403574",,
"Afflighem,Flanders","Affligem, Belgium",,"http://dbpedia.org/resource/Affligem","http://en.wikipedia.org/wiki/Affligem","Affligem",,"Vlaams Brabant","Vlaams Gewest",,"Belgium",,,,,,"http://rdf.freebase.com/ns/m/014q63","http://mpii.de/yago/resource/Affligem",,"http://linkedgeodata.org/triplify/node/290930345#id",,,,,"50.9084, 4.11281",,
"Afton, Tennessee","Afton, TN, USA",,,,"Afton",,"Greene","Tennessee",,"United States",,,,,,,,,,,,,,"36.194099, -82.736519",,
"Age 4 months.",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Agincourt","Agincourt, France",,"http://dbpedia.org/resource/Agincourt,_Meurthe-et-Moselle","http://en.wikipedia.org/wiki/Agincourt,_Meurthe-et-Moselle","Agincourt",,"Meurthe-et-Moselle","Lorraine",,"France",,,,,,"http://rdf.freebase.com/ns/m/03hjm61","http://mpii.de/yago/resource/Agincourt,_Meurthe-et-Moselle",,,,,,,"48.73204, 6.236217",,
"Aiken, South Carolina","Aiken, SC, USA",,"http://dbpedia.org/resource/Aiken,_South_Carolina","http://en.wikipedia.org/wiki/Aiken,_South_Carolina","Aiken",,"Aiken","South Carolina",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0_k8p","http://mpii.de/yago/resource/Aiken,_South_Carolina",,,,,,,"33.5604168, -81.7195533",,
"Aix-en-Provence","Aix-en-Provence, France",,"http://dbpedia.org/resource/Aix-en-Provence","http://en.wikipedia.org/wiki/Aix-en-Provence","Aix-en-Provence",,"Bouches-du-Rhone","Provence-Alpes-Côte d'Azur",,"France",,,,,,"http://rdf.freebase.com/ns/m/0knfs","http://mpii.de/yago/resource/Aix-en-Provence","http://sws.geonames.org/3038354/",,,,,,"43.529742, 5.447427",,
"Ajax, Ontario, Canada,,,,","Ajax, ON, Canada",,"http://dbpedia.org/resource/Ajax,_Ontario","http://en.wikipedia.org/wiki/Ajax,_Ontario","Ajax",,"Durham Regional Municipality","Ontario",,"Canada",,,,,,"http://rdf.freebase.com/ns/m/018ddq","http://mpii.de/yago/resource/Ajax,_Ontario",,,,,,,"43.8508553, -79.0203732",,
"Akron, Lake, Florida","Lake Akron, Florida 32767, USA",,,,,,"Lake","Florida",,"United States",,,,,,,,,,,,,,"28.9978267, -81.5226128",,
"Akron, Ohio","Akron, OH, USA",,"http://dbpedia.org/resource/Akron,_Ohio","http://en.wikipedia.org/wiki/Akron,_Ohio","Akron",,"Summit","Ohio",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0z20d","http://mpii.de/yago/resource/Akron,_Ohio",,,,,,,"41.0814447, -81.5190053",,
"Akron,Summit Co OH","Akron, OH, USA",,"http://dbpedia.org/resource/Akron,_Ohio","http://en.wikipedia.org/wiki/Akron,_Ohio","Akron",,"Summit","Ohio",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0z20d","http://mpii.de/yago/resource/Akron,_Ohio",,,,,,,"41.0814447, -81.5190053",,
